entry_id,entry_name
1347,"The Praise of the Bees, Exultet Hymn"
1349,The Dingxiang Wang Cult
1352,Śākadvīpīya Brāhmaṇas
1356,The Lausiac History
1357,Encratites
1367,Targums
1369,Astronomers in Babylon
1370,Teda
1371,Twelver Shi'ism in post-revolutionary Iran
1374,The Reformed Church (Early Orthodoxy)
1375,Epic of Gilgamesh
1376,African Initiated Churches
1386,Liumen (Liu School)
1387,Spring and Autumn annals of Master Lü
1389,Writ of the Three Sovereigns
1390,Eastern Apache
1392,Messalians
1393,The Ladder of Divine Ascent
1396,Ptolemaic Egypt - Egyptian Religion
1397,The Classic Period Peripheral Coastal Lowlands Ritual Ballgame Cult
1401,"The """"""""""""""""On the Divine Names"""""""""""""""" of Pseudo Denys the Areopagite"
1404,Religion in Nabataea
1405,Asketikon
1406,Barlaam and Ioasaph
1409,Formative Olmec
1412,Tenrikyo
1415,Anomeans
1417,Taiyi sheng shui 太一生水
1418,Book of Jonah
1419,Ancient Egyptian Religion in the Early 18th Dynasty
1420,Creek
1421,Tian wen 天問
1422,Defense of Icon Veneration by John of Damascus
1424,Santian neijie jing 三天內解經
1426,Early Missionary Christianity in China
1427,The Chaldaean Oracles
1429,Enheduana's Exaltation of Inana
1432,Preparation for the Gospel-Demonstration of the Gospel
1433,Novatians
1434,Kuna
1436,The Monastic School of Gaza
1441,Mexica (Aztec) Religion
1442,On the Body and Blood of the Lord (De corpore et sanguine Domini) - Paschasius Radbertus
1443,On the Body and Blood of the Lord (De corpore et sanguine Domini) - Lanfranc of Canterbury
1450,Tehuelche
1452,Soushen ji 搜神記
1454,Hesychastic Controversy
1458,Mbuti
1466,Islamic modernists
1468,Eastern Christianity From Nicaea to Chalcedon
1471,Book of Ezekiel
1473,Ishtar's Descent to the Underworld
1484,Mesopotamian Exorcistic Texts
1486,Xunzi 荀子
1495,Secular Buddhists
1509,The Temple Scroll
1511,Sokoto
1513,Imrā’atu-nā fī l-šarīʻa wa-l-muŷtamaʻ / امرأتنا في الشريعة والمجتمع
1517,Tunisian Women's Associations
1521,Order of the Hermits of St Augustine (Augustinian friars)
1522,Tijaniyya Order/ الطريقة التيجانية
1525,Changsha Zidanku Chu bo shu 長沙子彈庫楚帛書 1 (Chu Silk Manuscript)
1542,Umbanda
