Source,Target,Weight
70,218,1
70,236,1
70,292,1
70,296,1
70,417,1
70,534,1
70,708,1
70,829,1
70,892,1
71,83,1
71,353,1
71,563,1
71,617,1
71,710,1
71,819,1
71,880,1
72,75,1
72,168,1
72,181,1
72,236,1
72,303,1
72,306,1
72,402,1
72,454,1
73,128,1
73,142,1
73,154,1
73,454,1
73,534,1
73,639,1
73,674,1
73,807,1
74,111,1
74,191,1
74,201,1
74,235,1
74,294,1
74,297,1
74,585,1
74,591,1
74,857,1
75,157,1
75,221,1
75,274,1
75,473,1
75,477,1
75,690,1
76,165,1
76,379,1
76,382,1
76,619,1
76,707,1
76,741,1
76,766,1
77,128,1
77,158,1
77,205,1
77,208,1
77,368,1
77,602,1
77,811,1
77,992,1
78,106,1
78,129,1
78,196,1
78,203,1
78,212,1
78,224,1
78,241,1
78,259,1
78,350,1
78,515,1
78,542,1
78,634,1
79,86,1
79,95,1
79,117,1
79,149,1
79,317,1
79,318,1
79,763,1
79,781,1
80,225,1
80,267,1
80,370,1
80,469,1
80,474,1
81,164,1
81,166,1
81,200,1
81,223,1
81,283,1
81,529,1
81,864,1
81,998,1
82,87,1
82,352,1
82,366,1
82,434,1
82,691,1
82,716,1
82,773,1
82,857,1
82,938,1
83,199,1
83,233,1
83,329,1
83,488,1
83,511,1
83,593,1
84,98,1
84,140,1
84,374,1
84,422,1
84,445,1
84,607,1
84,876,1
84,974,1
85,107,1
85,149,1
85,214,1
85,220,1
85,280,1
85,298,1
85,443,1
85,581,1
85,611,1
85,823,1
86,87,1
86,228,1
86,297,1
86,356,1
86,380,1
86,555,1
87,95,1
87,104,1
87,296,1
87,381,1
87,405,1
87,844,1
88,108,1
88,151,1
88,177,1
88,322,1
88,428,1
88,568,1
88,787,1
89,117,1
89,122,1
89,126,1
89,323,1
89,409,1
89,443,1
89,577,1
89,824,1
89,905,1
89,945,1
89,949,1
90,237,1
90,494,1
90,709,1
90,741,1
90,831,1
91,146,1
91,166,1
91,194,1
91,588,1
91,686,1
91,724,1
91,812,1
92,119,1
92,390,1
92,562,1
92,683,1
92,772,1
92,943,1
93,179,1
93,260,1
93,282,1
93,367,1
93,442,1
93,491,1
93,528,1
93,541,1
93,900,1
93,986,1
94,97,1
94,99,1
94,132,1
94,238,1
94,278,1
94,311,1
94,330,1
94,364,1
94,416,1
94,506,1
94,833,1
95,109,1
95,240,1
95,252,1
95,342,1
95,713,1
95,716,1
96,127,1
96,171,1
96,242,1
96,250,1
96,371,1
96,441,1
96,489,1
96,495,1
96,532,1
96,891,1
97,221,1
97,239,1
97,247,1
97,271,1
97,344,1
97,477,1
97,586,1
97,878,1
98,201,1
98,206,1
98,275,1
98,531,1
98,711,1
98,940,1
99,144,1
99,172,1
99,239,1
99,246,1
99,251,1
99,351,1
99,482,1
99,490,1
99,598,1
99,631,1
100,114,1
100,188,1
100,235,1
100,258,1
100,275,1
100,617,1
100,669,1
100,692,1
100,816,1
100,936,1
101,122,1
101,126,1
101,150,1
101,167,1
101,219,1
101,272,1
